id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
177,Tiny Home in the Heart of the City- ECO FRIENDLY,615,Joe,,Virginia Village,39.69551,-104.92489,Entire home/apt,85,1,78,2020-12-31,1.40,2,319
360,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,666,Jennifer & Giovanni,,Highland,39.76758,-105.00316,Entire home/apt,134,3,139,2021-02-28,4.34,2,30
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76672,-104.97906,Entire home/apt,179,185,87,2016-04-26,0.60,1,363
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75511,-104.91109,Private room,54,1,606,2020-09-01,4.14,2,95
592,private,933,Jill,,North Park Hill,39.75481,-104.91106,Private room,45,29,156,2020-11-08,1.06,2,142
686,Alexandra's Queen Bed Room LONG-TERM RENTAL,990,Alexandra,,North Capitol Hill,39.74695,-104.97838,Private room,30,30,255,2021-03-01,1.66,1,228
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.72166,-104.99864,Entire home/apt,90,1,55,2021-01-01,1.08,1,126
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,85,4,81,2021-03-14,0.63,1,303
39405,LoHi Secret garden at Mulberry Cottage Monthly,666,Jennifer & Giovanni,,Highland,39.76605,-105.00526,Entire home/apt,110,29,623,2021-01-27,4.80,2,1
154999,In the Heart of Downtown Denver,745200,Susan,,CBD,39.74439,-104.98927,Entire home/apt,67,90,11,2011-12-13,0.09,1,361
172196,Luxury Wash Park Home Great for Families & Groups,526354,Michael,,Washington Park,39.69691,-104.9611,Entire home/apt,400,5,27,2021-01-01,0.23,1,33
192430,treetop view bedroom  east dwntwn ./  4-6 weeks,923646,Kate,,South Park Hill,39.7435,-104.93753,Private room,40,29,121,2021-03-01,1.03,1,153
217996,Highland Snug,10730,William,,Highland,39.75895,-105.01036,Private room,100,30,11,2017-08-06,0.16,1,223
236207,Denver Penthouse 5*Location DIA 33 Minutes $10.50,1238201,Dave,,Union Station,39.75363,-105.00533,Entire home/apt,214,30,63,2020-10-31,0.59,1,0
283162,2000 SF-Lodo Club Style Condo,1475137,Lee,,Union Station,39.7515,-104.99473,Entire home/apt,165,30,1,2018-07-03,0.03,1,274
364585,Washington Park Stunning Townhouse,930851,Nicholas,,Washington Park West,39.69845,-104.98073,Entire home/apt,223,29,142,2021-02-14,1.29,1,249
370209,Private room in the nest - w/bathroom,269892,Maura,,Baker,39.7172,-104.99767,Private room,55,7,100,2021-02-05,1.44,1,223
477016,Private room In the heart of Denver,10951,Tricia,,City Park West,39.74348,-104.97089,Private room,55,3,326,2020-10-19,3.06,1,62
504080,Creative Haven in Artists's Abode,2370964,Andrea,,Clayton,39.76574,-104.95379,Entire home/apt,130,5,45,2018-09-24,0.42,1,61
521072,Downtown and Modern by Hospital.,2563107,Matthew,,City Park West,39.74469,-104.96428,Entire home/apt,111,60,204,2021-03-08,1.92,1,0
